harness,vendor,language,path,clock,file,symbol,evidence,source_url,retrieved,note
OpenMessaging Benchmark,Linux Foundation,Java,end-to-end,millisecond,benchmark-framework/src/main/java/io/openmessaging/benchmark/worker/LocalWorker.java,messageReceived,long endToEndLatencyMicros = TimeUnit.MILLISECONDS.toMicros(now - publishTimestamp);,https://github.com/openmessaging/benchmark,2026-07-25,millisecond difference across processes then converted to microseconds; the quantum survives the unit change
OpenMessaging Benchmark,Linux Foundation,Java,end-to-end,millisecond,benchmark-framework/src/main/java/io/openmessaging/benchmark/worker/WorkerStats.java,recordMessageReceived,if (endToEndLatencyMicros > 0) {,https://github.com/openmessaging/benchmark,2026-07-25,no else branch and no counter; the discarded population leaves no trace in the output
OpenMessaging Benchmark,Linux Foundation,Java,publish,nanosecond,benchmark-framework/src/main/java/io/openmessaging/benchmark/worker/MessageProducer.java,MessageProducer,"MessageProducer(UniformRateLimiter rateLimiter, WorkerStats stats) { this(System::nanoTime, rateLimiter, stats); }",https://github.com/openmessaging/benchmark,2026-08-21,the same harness measures its same-process span with a nanosecond clock
OpenMessaging Benchmark,Linux Foundation,Java,publish,nanosecond,benchmark-framework/src/main/java/io/openmessaging/benchmark/worker/MessageProducer.java,success,"stats.recordProducerSuccess(payloadLength, intendedSendTime, sendTime, nowNs);",https://github.com/openmessaging/benchmark,2026-08-21,recorded unconditionally: no positivity guard on this path and none needed
emqtt-bench,EMQ Technologies,Erlang,end-to-end,millisecond,src/emqtt_bench.erl,publish_latency,"E2ELatency = os:system_time(millisecond) - TS,",https://github.com/emqx/emqtt-bench,2026-08-20,"an independent millisecond cross-process difference, computed the same way and disposed of differently"
emqtt-bench,EMQ Technologies,Erlang,end-to-end,millisecond,src/emqtt_bench.erl,publish_latency,"E2ELatency > 0 andalso inc_counter(Prometheus, publish_latency, E2ELatency),",https://github.com/emqx/emqtt-bench,2026-08-20,"the guard is on the Prometheus counter, not on the sample: the source comment reads ""publish_latency counter is global, only update it when > 0"". Recorded here because it looks like the OpenMessaging guard and is not one"
emqtt-bench,EMQ Technologies,Erlang,end-to-end,millisecond,src/emqtt_bench.erl,maybe_check_payload_hdrs,"histogram_observe(Prometheus, e2e_latency, E2ELatency),",https://github.com/emqx/emqtt-bench,2026-08-20,"the line after the guard: every sample reaches the histogram, including zero and negative. This is the counterexample to our own first reading"
Apache Pulsar perf,Apache Software Foundation,Java,end-to-end,millisecond,pulsar-testclient/src/main/java/org/apache/pulsar/testclient/PerformanceConsumer.java,PerformanceConsumer,long latencyMillis = System.currentTimeMillis() - msg.publishTime().toEpochMilli();,https://github.com/apache/pulsar,2026-08-21,"the consumer's wall clock minus the producer-set publish time, both in milliseconds, across hosts"
Apache Pulsar perf,Apache Software Foundation,Java,end-to-end,millisecond,pulsar-testclient/src/main/java/org/apache/pulsar/testclient/PerformanceConsumer.java,PerformanceConsumer,if (latencyMillis >= 0) {,https://github.com/apache/pulsar,2026-08-21,a second vendor's millisecond cross-host span behind a positivity guard with no else branch and no counter; the preceding line is System.currentTimeMillis() - msg.publishTime().toEpochMilli()
fio,Jens Axboe,C,I/O completion,nanosecond,gettime.c,ntime_since,if (sec < 0 || (sec == 0 && nsec < 0)),https://github.com/axboe/fio,2026-08-20,the guard appears in ntime_since utime_since and mtime_since_tv; each returns zero for an inverted interval under a comment reading time warp bug on some kernels?
blktrace btt,Alan D. Brunelle,C,block stage,nanosecond,btt/inlines.h,tdelta,return (from < to) ? (to - from) : 1;,https://github.com/efarrer/blktrace,2026-08-20,"tdelta() at btt/inlines.h:315-318 substitutes one nanosecond for an inverted OR equal pair of stage stamps, with no comment, counter or mention in the manual page"
wrk2,G. Tene,C,end-to-end,microsecond,src/wrk.c,response_complete,"hdr_record_value(thread->latency_histogram, expected_latency_timing);",https://github.com/giltene/wrk2,2026-08-21,"the value was tested three dozen lines earlier, found negative, and printed under ""We are about to crash and die""; it is then recorded unguarded at line 555 and the boolean return is not checked"
